image,x,y,r,g,b
ge,1,3,255,255,255
ge,1,4,255,255,255
ge,1,5,255,0,0
ge,1,6,255,0,0
ge,1,7,255,255,255
ge,1,8,255,255,255
ge,1,9,255,255,255
ge,1,10,255,255,255
ge,2,1,255,255,255
ge,2,2,255,255,255
ge,2,3,255,255,255
ge,2,4,255,255,255
ge,2,5,255,0,0
ge,2,6,255,0,0
ge,2,7,255,255,255
ge,2,8,255,255,255
ge,2,9,255,255,255
ge,2,10,255,255,255
ge,3,1,255,255,255
ge,3,2,255,255,255
ge,3,3,255,255,255
ge,3,4,255,255,255
ge,3,5,255,0,0
ge,3,6,255,0,0
ge,3,7,255,255,255
ge,3,8,255,255,255
ge,3,9,255,255,255
ge,3,10,255,255,255
ge,4,1,255,255,255
ge,4,2,255,255,255
ge,4,3,255,255,255
ge,4,4,255,255,255
ge,4,5,255,0,0
ge,4,6,255,0,0
ge,4,7,255,255,255
ge,4,8,255,255,255
ge,4,9,255,255,255
ge,4,10,255,255,255
ge,5,1,255,0,0
ge,5,2,255,0,0
ge,5,3,255,0,0
ge,5,4,255,0,0
ge,5,5,255,0,0
ge,5,6,255,0,0
ge,5,7,255,0,0
ge,5,8,255,0,0
ge,5,9,255,0,0
ge,5,10,255,0,0
ge,6,1,255,0,0
ge,6,2,255,0,0
ge,6,3,255,0,0
ge,6,4,255,0,0
ge,6,5,255,0,0
ge,6,6,255,0,0
ge,6,7,255,0,0
ge,6,8,255,0,0
ge,6,9,255,0,0
ge,6,10,255,0,0
ge,7,1,255,255,255
ge,7,2,255,255,255
ge,7,3,255,255,255
ge,7,4,255,255,255
ge,7,5,255,0,0
ge,7,6,255,0,0
ge,7,7,255,255,255
ge,7,8,255,255,255
ge,7,9,255,255,255
ge,7,10,255,255,255
ge,8,1,255,255,255
ge,8,2,255,255,255
ge,8,3,255,255,255
ge,8,4,255,255,255
ge,8,5,255,0,0
ge,8,6,255,0,0
ge,8,7,255,255,255
ge,8,8,255,255,255
ge,8,9,255,255,255
ge,8,10,255,255,255
ge,9,1,255,255,255
ge,9,2,255,255,255
ge,9,3,255,255,255
ge,9,4,255,255,255
ge,9,5,255,0,0
ge,9,6,255,0,0
ge,9,7,255,255,255
ge,9,8,255,255,255
ge,9,9,255,255,255
ge,9,10,255,255,255
ge,10,1,255,255,255
ge,10,2,255,255,255
ge,10,3,255,255,255
ge,10,4,255,255,255
ge,10,5,255,0,0
ge,10,6,255,0,0
ge,10,7,255,255,255
ge,10,8,255,255,255
ge,10,9,255,255,255
ge,10,10,255,255,255
hm,1,1,255,66,66
hm,1,2,0,0,139
hm,1,3,255,0,0
hm,1,4,0,0,139
hm,1,5,255,0,0
hm,1,6,0,0,139
hm,1,7,0,0,139
hm,1,8,0,0,139
hm,1,9,0,0,139
hm,1,10,0,0,139
hm,2,1,0,0,139
hm,2,2,255,66,66
hm,2,3,255,0,0
hm,2,4,255,0,0
hm,2,5,0,0,139
hm,2,6,0,0,139
hm,2,7,0,0,139
hm,2,8,0,0,139
hm,2,9,0,0,139
hm,2,10,0,0,139
hm,3,1,255,0,0
hm,3,2,255,0,0
hm,3,3,255,0,0
hm,3,4,255,0,0
hm,3,5,255,0,0
hm,3,6,0,0,139
hm,3,7,255,255,255
hm,3,8,255,255,255
hm,3,9,0,0,139
hm,3,10,0,0,139
hm,4,1,0,0,139
hm,4,2,255,255,255
hm,4,3,255,0,0
hm,4,4,255,197,197
hm,4,5,0,0,139
hm,4,6,0,0,139
hm,4,7,0,0,139
hm,4,8,0,0,139
hm,4,9,0,0,139
hm,4,10,0,0,139
hm,5,1,255,255,255
hm,5,2,0,0,139
hm,5,3,255,0,0
hm,5,4,0,0,139
hm,5,5,255,197,197
hm,5,6,0,0,139
hm,5,7,0,0,139
hm,5,8,0,0,139
hm,5,9,0,0,139
hm,5,10,0,0,139
hm,6,1,0,0,139
hm,6,2,0,0,139
hm,6,3,0,0,139
hm,6,4,0,0,139
hm,6,5,0,0,139
hm,6,6,0,0,139
hm,6,7,0,0,139
hm,6,8,0,0,139
hm,6,9,0,0,139
hm,6,10,0,0,139
hm,7,1,0,0,139
hm,7,2,0,0,139
hm,7,3,0,0,139
hm,7,4,0,0,139
hm,7,5,204,204,232
hm,7,6,0,0,139
hm,7,7,0,0,139
hm,7,8,0,0,139
hm,7,9,0,0,139
hm,7,10,0,0,139
hm,8,1,0,0,139
hm,8,2,255,255,255
